* Measurement data measured by REW V5.30.9
* Source: B to A at 200 Hz Filtered
* Format: 
* Dated: Mar 12, 2024 9:59:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 200 Hz A = Antdroid IE v1.3 B = Harman2019_IE B was scaled by 0.1 dB  PK       Fc   20.00 Hz  Gain   3.00 dB  Q  0.600 PK       Fc    1500 Hz  Gain  -0.50 dB  Q  1.000 PK       Fc    3709 Hz  Gain  -1.00 dB  Q  0.700
* Measurement: Bassdroid
* Smoothing: None
* Frequency Step: 0.24999999 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB)
341.937359 73.882
342.187359 73.882
342.437359 73.882
342.687359 73.881
342.937359 73.881
343.187359 73.881
343.437359 73.880
343.687359 73.880
343.937359 73.879
344.187359 73.879
344.437359 73.879
344.687359 73.878
344.937359 73.878
345.187359 73.878
345.437359 73.877
345.687359 73.877
345.937359 73.876
346.187358 73.876
346.437358 73.876
346.687358 73.875
346.937358 73.875
347.187358 73.875
347.437358 73.874
347.687358 73.874
347.937358 73.874
348.187358 73.873
348.437358 73.873
348.687358 73.873
348.937358 73.872
349.187358 73.872
349.437358 73.872
349.687358 73.871
349.937358 73.871
350.187358 73.871
350.437358 73.870
350.687358 73.870
350.937358 73.870
351.187358 73.869
351.437358 73.869
351.687358 73.869
351.937358 73.868
352.187358 73.868
352.437358 73.868
352.687358 73.868
352.937358 73.867
353.187358 73.867
353.437358 73.867
353.687358 73.866
353.937358 73.866
354.187358 73.866
354.437358 73.865
354.687358 73.865
354.937358 73.865
355.187358 73.865
355.437358 73.864
355.687358 73.864
355.937358 73.864
356.187358 73.863
356.437358 73.863
356.687358 73.863
356.937358 73.863
357.187358 73.862
357.437358 73.862
357.687358 73.862
357.937358 73.862
358.187358 73.861
358.437358 73.861
358.687358 73.861
358.937358 73.861
359.187358 73.860
359.437358 73.860
359.687358 73.860
359.937358 73.860
360.187358 73.859
360.437358 73.859
360.687358 73.859
360.937358 73.859
361.187358 73.858
361.437358 73.858
361.687358 73.858
361.937358 73.858
362.187358 73.857
362.437358 73.857
362.687358 73.857
362.937358 73.857
363.187357 73.856
363.437357 73.856
363.687357 73.856
363.937357 73.856
364.187357 73.856
364.437357 73.855
364.687357 73.855
364.937357 73.855
365.187357 73.855
365.437357 73.854
365.687357 73.854
365.937357 73.854
366.187357 73.854
366.437357 73.854
366.687357 73.853
366.937357 73.853
367.187357 73.853
367.437357 73.853
367.687357 73.853
367.937357 73.852
368.187357 73.852
368.437357 73.852
368.687357 73.852
368.937357 73.852
369.187357 73.851
369.437357 73.851
369.687357 73.851
369.937357 73.851
370.187357 73.851
370.437357 73.851
370.687357 73.850
370.937357 73.850
371.187357 73.850
371.437357 73.850
371.687357 73.850
371.937357 73.849
372.187357 73.849
372.437357 73.849
372.687357 73.849
372.937357 73.849
373.187357 73.849
373.437357 73.848
373.687357 73.848
373.937357 73.848
374.187357 73.848
374.437357 73.848
374.687357 73.848
374.937357 73.847
375.187357 73.847
375.437357 73.847
375.687357 73.847
375.937357 73.847
376.187357 73.847
376.437357 73.847
376.687357 73.846
376.937357 73.846
377.187357 73.846
377.437357 73.846
377.687357 73.846
377.937357 73.846
378.187357 73.846
378.437357 73.845
378.687357 73.845
378.937357 73.845
379.187357 73.845
379.437357 73.845
379.687357 73.845
379.937356 73.845
380.187356 73.845
